Source,Target,Type,Id,Label,Weight
did:plc:roq5gbpx5mkrtvawaqflvr7g,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,192,,1
did:plc:evhckrbqlnb46aiyxxae3htq,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,193,,1
did:plc:lbiowygpourm2d3o25zribi3,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,194,,1
did:plc:i6tyaqxsxvhugft7rg75kwbu,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,195,,1
did:plc:65dxe6nwphljynzbpekjq6h7,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,196,,1
did:plc:4jk3oici5b4loxn4f63v6mx3,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,197,,1
did:plc:aeugjh5ujqpvvh7p6eovrqpx,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,198,,1
did:plc:y2asvyffe4yvtpnh4vyax352,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,199,,1
did:plc:6unnhi6dh7ls75l7mnfyt667,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,200,,1
did:plc:vdqdo7k4net42rfmnaqfshfb,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,201,,1
did:plc:giax4n2z3yawle7tcjomwmst,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,202,,1
did:plc:2kjpum3ixa6rxoguerg5poqv,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,203,,1
did:plc:btcn7e2kt7dbie7s2zzzpp67,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,204,,1
did:plc:z3lqvimdlbo4grvlwsh6jrzh,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,205,,1
did:plc:ecwv74ufu6e3clqrroimmyls,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,206,,1
did:plc:pj6rhfq3sgqest4535ip2ysc,did:plc:34na47mry5rtwq3l7xm6w3hc,Directed,207,,1
